epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,208.017,1.23234,2.77045,1.00849,0.96945,0.17328,0.45543,0.35293,0.94623,2.69328,0.89683,0.000409091,0.000409091,0.000409091
2,351.735,1.03559,1.31319,0.94385,0.88114,0.80268,0.90013,0.70077,0.87842,1.53881,0.90029,0.000771258,0.000771258,0.000771258
3,489.636,0.93293,1.06544,0.92723,0.88059,0.87376,0.92705,0.71269,0.90033,1.15427,0.91844,0.00107842,0.00107842,0.00107842
4,643.961,0.90837,0.97219,0.92365,0.93677,0.91495,0.92985,0.73433,0.83499,1.03385,0.90016,0.0010025,0.0010025,0.0010025
5,823.386,0.87924,0.89916,0.90356,0.96,0.93638,0.95618,0.76159,0.7682,0.84489,0.90004,0.00092,0.00092,0.00092
6,986.6,0.75556,0.83302,0.87148,0.95892,0.95493,0.93983,0.76536,0.73542,0.75728,0.88977,0.0008375,0.0008375,0.0008375
7,1128.35,0.73442,0.77344,0.87294,0.94767,0.91252,0.93889,0.76867,0.70931,0.76252,0.89485,0.000755,0.000755,0.000755
8,1284.92,0.69232,0.7163,0.85721,0.95694,0.95131,0.94289,0.79172,0.68561,0.6846,0.90617,0.0006725,0.0006725,0.0006725
9,1875.2,0.65972,0.67809,0.84973,0.9588,0.92027,0.93782,0.80709,0.66752,0.6617,0.89892,0.00059,0.00059,0.00059
10,2124.81,0.63937,0.64711,0.84357,0.95211,0.94865,0.94118,0.77322,0.67903,0.62877,0.90161,0.0005075,0.0005075,0.0005075
11,2339.93,0.63729,0.63219,0.84242,0.94533,0.94271,0.94044,0.78901,0.66091,0.60683,0.88911,0.000425,0.000425,0.000425
12,2542.84,0.59712,0.59531,0.83625,0.96251,0.9432,0.94409,0.80314,0.64012,0.5989,0.88454,0.0003425,0.0003425,0.0003425
13,8307.74,0.57926,0.57126,0.82981,0.95752,0.94398,0.94114,0.80699,0.63598,0.58048,0.88134,0.00026,0.00026,0.00026
14,8631.95,0.56935,0.55879,0.82565,0.95266,0.95189,0.9425,0.8015,0.61583,0.55682,0.87837,0.0001775,0.0001775,0.0001775
15,8770.2,0.5564,0.54898,0.83132,0.95795,0.9515,0.94337,0.8063,0.59829,0.55508,0.87438,9.5e-05,9.5e-05,9.5e-05
